id,buildingblock1_smiles,buildingblock2_smiles,buildingblock3_smiles,molecule_smiles,protein_name,binds
159642,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CN1CCN(Cc2cccc(N)c2)CC1,Cc1ccnc(N)c1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cccc(CN3CCN(C)CC3)c2)nc(Nc2cc(C)ccn2)n1,BRD4,0
486750,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Cl.Cl.NCCn1cnc2ccsc2c1=O,CN(CCN)C1CCOCC1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCN(C)C2CCOCC2)nc(NCCn2cnc3ccsc3c2=O)n1,BRD4,0
899336,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Nc1ccc(Cl)cn1,COC(=O)c1ccc(N)cc1O,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2ccc(C(=O)OC)c(O)c2)nc(Nc2ccc(Cl)cn2)n1,sEH,0
533403,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Cl.Cn1cc(N)ccc1=O,Cc1ccc(CN)c(OC2CCOC2)c1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2ccc(C)cc2OC2CCOC2)nc(Nc2ccc(=O)n(C)c2)n1,BRD4,1
140868,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CN(C)c1nc(Cl)c(CN)s1.Cl.Cl,Cc1c(N)cccc1Br,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2sc(N(C)C)nc2Cl)nc(Nc2cccc(Br)c2C)n1,BRD4,0
837647,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,NCc1cn(C(F)F)c2ccccc12,Cl.Cl.NCC#Cc1cccnc1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC#Cc2cccnc2)nc(NCc2cn(C(F)F)c3ccccc23)n1,sEH,0
929570,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Nc1ccc(N2CCOCC2)cc1,Cc1cccc(N)c1Cl,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2ccc(N3CCOCC3)cc2)nc(Nc2cccc(C)c2Cl)n1,sEH,0
149026,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CN1CC(CCN)CC1=O,COc1ccc([N+](=O)[O-])c(N)n1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCC2CC(=O)N(C)C2)nc(Nc2nc(OC)ccc2[N+](=O)[O-])n1,HSA,0
877962,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Nc1cc(N2CCNCC2)ccc1[N+](=O)[O-],COC(=O)c1scc(C)c1N,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cc(N3CCNCC3)ccc2[N+](=O)[O-])nc(Nc2c(C)csc2C(=O)OC)n1,BRD4,1
423597,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Cc1cnc(Cl)cc1N,CCc1cc(N)n[nH]1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cc(CC)[nH]n2)nc(Nc2cc(Cl)ncc2C)n1,BRD4,0
903346,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Nc1ccc(Cl)nc1Cl,Nc1n[nH]c2c(F)c(F)ccc12,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2ccc(Cl)nc2Cl)nc(Nc2n[nH]c3c(F)c(F)ccc23)n1,HSA,0
991128,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,Cn1cc(CN)cn1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2cnn(C)c2)nc(Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3=O)n1,BRD4,0
448638,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Cc1nnc(CCCN)s1.Cl,Cl.NCCOc1ccc(F)c(F)c1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCCc2nnc(C)s2)nc(NCCOc2ccc(F)c(F)c2)n1,BRD4,0
890801,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Nc1ccc(Br)c(F)n1,CCOC(=O)c1coc(N)n1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2ccc(Br)c(F)n2)nc(Nc2nc(C(=O)OCC)co2)n1,sEH,0
29229,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)(C#N)c1ccc(N)cc1,NCC1CCC2CC2C1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC2CCC3CC3C2)nc(Nc2ccc(C(C)(C)C#N)cc2)n1,BRD4,0
571902,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Cl.NCC1CCCC2(CCC2)C1O,Cl.NCC1CC12CCOCC2,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC2CCCC3(CCC3)C2O)nc(NCC2CC23CCOCC3)n1,BRD4,0
225967,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,COCOCCCN,Cc1ccnc(N)c1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCCOCOC)nc(Nc2cc(C)ccn2)n1,HSA,0
295478,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,COc1cnc(N)nc1,Nc1ccc2c(c1)COC2=O,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2ccc3c(c2)COC3=O)nc(Nc2ncc(OC)cn2)n1,sEH,0
466334,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Cl.Cl.NCC1(c2ccncc2)CC1,Nc1n[nH]c2c(F)c(F)ccc12,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC2(c3ccncc3)CC2)nc(Nc2n[nH]c3c(F)c(F)ccc23)n1,sEH,0
216536,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,COC1(CN)CCC1,Cl.Cl.NCCN1CCS(=O)CC1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCN2CCS(=O)CC2)nc(NCC2(OC)CCC2)n1,sEH,0
664797,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Cl.NCc1csc(=O)[nH]1,Nc1ccc2nsnc2c1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2csc(=O)[nH]2)nc(Nc2ccc3nsnc3c2)n1,BRD4,0
598995,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Cl.NCCCN1C(=O)CCC1=O,N#Cc1cc(N)ccc1Cl,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCCN2C(=O)CCC2=O)nc(Nc2ccc(Cl)c(C#N)c2)n1,BRD4,0
176066,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,COC(=O)c1cc(N)cc(F)c1,Cn1cc(N)cn1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cc(F)cc(C(=O)OC)c2)nc(Nc2cnn(C)c2)n1,sEH,0
457811,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Cl.Cl.Cn1ccnc1Cn1c(CCCN)nc2c1CCCC2,NCC1(c2ccc(Cl)cc2Cl)CCCC1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCCc2nc3c(n2Cc2nccn2C)CCCC3)nc(NCC2(c3ccc(Cl)cc3Cl)CCCC2)n1,sEH,0
882820,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Nc1ccc(-c2cnco2)cc1,CN(CCN)C1CCOCC1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCN(C)C2CCOCC2)nc(Nc2ccc(-c3cnco3)cc2)n1,HSA,0
872072,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Nc1cc(F)cc(F)c1,Nc1cc(F)cc(F)c1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cc(F)cc(F)c2)nc(Nc2cc(F)cc(F)c2)n1,sEH,0
275659,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,COc1ccc(O)c(N)c1,Cc1cccc(N)c1Cl,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cc(OC)ccc2O)nc(Nc2cccc(C)c2Cl)n1,HSA,0
421463,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Cc1cnc(CCN)s1.Cl.Cl,COC(=O)c1nc(N)sc1Br,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCc2ncc(C)s2)nc(Nc2nc(C(=O)OC)c(Br)s2)n1,sEH,0
591672,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Cl.NCCC1CCCC1(F)F,Nc1cc(Br)ccn1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCC2CCCC2(F)F)nc(Nc2cc(Br)ccn2)n1,BRD4,0
54428,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(CN)N1CCC1,Nc1ccnc(Cl)c1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)N2CCC2)nc(Nc2ccnc(Cl)c2)n1,sEH,0
465211,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Cl.Cl.NCC1(c2ccncc2)CC1,CC(C)(C)c1cc(N)n[nH]1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC2(c3ccncc3)CC2)nc(Nc2cc(C(C)(C)C)[nH]n2)n1,HSA,1
406496,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Cc1cccc(OCCCN)c1C.Cl,N#CC1=C(N)CCC1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCCOc2cccc(C)c2C)nc(NC2=C(C#N)CCC2)n1,sEH,0
199383,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,COC(=O)c1nc(Cl)c(Cl)nc1N,Cc1n[nH]c(N)c1C,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2nc(Cl)c(Cl)nc2C(=O)OC)nc(Nc2[nH]nc(C)c2C)n1,BRD4,0
268856,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,COc1ccc(N)cc1OC,Cc1cc2cc(CN)ccc2[nH]1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2ccc3[nH]c(C)cc3c2)nc(Nc2ccc(OC)c(OC)c2)n1,sEH,1
774313,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,NCCCCN1CCCC1,Cl.NCC1(F)CCOC1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCCCN2CCCC2)nc(NCC2(F)CCOC2)n1,HSA,0
672303,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Cl.NCc1nnc(-c2ccncc2)[nH]1,Cl.NCc1noc(C2CCOCC2)n1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2noc(C3CCOCC3)n2)nc(NCc2nnc(-c3ccncc3)[nH]2)n1,BRD4,0
268614,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,COc1ccc(N)cc1OC,COCc1ccccc1CN,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2ccccc2COC)nc(Nc2ccc(OC)c(OC)c2)n1,BRD4,1
1041832,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Nc1nc(Cl)cc(Cl)n1,CN1CC(CN)CC1=O,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC2CC(=O)N(C)C2)nc(Nc2nc(Cl)cc(Cl)n2)n1,HSA,0
797532,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,NCc1c(F)cccc1N1CCCC1,CN1CCO[C@@H](CN)[C@@H]1c1cnn(C)c1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2c(F)cccc2N2CCCC2)nc(NC[C@@H]2OCCN(C)[C@H]2c2cnn(C)c2)n1,BRD4,0
1014508,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Nc1ccncn1,CC(C)c1nc(N)sc1Br,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2ccncn2)nc(Nc2nc(C(C)C)c(Br)s2)n1,HSA,0
1010863,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Nc1ccnc(Cl)n1,NCc1cn2cc(Cl)ccc2n1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2cn3cc(Cl)ccc3n2)nc(Nc2ccnc(Cl)n2)n1,HSA,0
429540,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Cc1cnc(N)s1,CC1CCc2nc(CN)sc2C1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nc3c(s2)CC(C)CC3)nc(Nc2ncc(C)s2)n1,BRD4,0
719328,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,N#Cc1ccnc(N)c1,NCc1noc2c1COCC2,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2noc3c2COCC3)nc(Nc2cc(C#N)ccn2)n1,BRD4,0
87395,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC1CN(S(=O)(=O)CCN)CC(C)O1,Cc1ccc(F)c(N)c1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCS(=O)(=O)N2CC(C)OC(C)C2)nc(Nc2cc(C)ccc2F)n1,sEH,0
69537,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC1(C)CC(CCN)C(=O)N1.Cl,COC1(CN)CCC1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCC2CC(C)(C)NC2=O)nc(NCC2(OC)CCC2)n1,BRD4,0
395593,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Cc1ccc(N)cc1Br,CC1CCc2nc(CN)sc2C1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nc3c(s2)CC(C)CC3)nc(Nc2ccc(C)c(Br)c2)n1,HSA,0
855628,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Nc1cc(Cl)c([N+](=O)[O-])cn1,CCOC(=O)c1nonc1N,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cc(Cl)c([N+](=O)[O-])cn2)nc(Nc2nonc2C(=O)OCC)n1,HSA,0
1023497,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Nc1cnc(Cl)nc1,Cl.NC1CCC(=O)CC1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cnc(Cl)nc2)nc(NC2CCC(=O)CC2)n1,sEH,0
732543,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,NCC1(C2CC2)CCCO1,Cl.Cl.NCc1ncccc1F,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2ncccc2F)nc(NCC2(C3CC3)CCCO2)n1,BRD4,0
324358,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CSSCCN.Cl,Cc1cccc2sc(N)nc12,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCSSC)nc(Nc2nc3c(C)cccc3s2)n1,HSA,0
143043,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CN(C)c1ncccc1CN.Cl.Cl,Cc1c(N)cccc1Br,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2cccnc2N(C)C)nc(Nc2cccc(Br)c2C)n1,BRD4,0
1007060,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Nc1cccnc1[N+](=O)[O-],Nc1nc(-c2ccccc2Cl)cs1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2nc(-c3ccccc3Cl)cs2)nc(Nc2cccnc2[N+](=O)[O-])n1,sEH,0
517771,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Cl.Cl.NCc1nc2cnccc2s1,Cc1nnc(N)o1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nc3cnccc3s2)nc(Nc2nnc(C)o2)n1,HSA,0
587325,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Cl.NCCC1CC1,Cl.Cl.NCc1nnc(C2CCOC2)[nH]1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCC2CC2)nc(NCc2nnc(C3CCOC3)[nH]2)n1,BRD4,0
977494,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Nc1ccc2nsnc2c1,NCCOc1cccnc1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCOc2cccnc2)nc(Nc2ccc3nsnc3c2)n1,HSA,0
363275,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Cc1cc(N)ccc1Cl,COc1cc(C)c(N)cn1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2ccc(Cl)c(C)c2)nc(Nc2cnc(OC)cc2C)n1,sEH,0
683020,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Cl.Nc1cccc2c(=O)cc(-c3nn[nH]n3)oc12,Cl.NCC1CCOCC12CCCC2,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC2CCOCC23CCCC3)nc(Nc2cccc3c(=O)cc(-c4nn[nH]n4)oc23)n1,HSA,0
741637,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,NCC1(O)CC1,CCc1cc(N)n[nH]1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC2(O)CC2)nc(Nc2cc(CC)[nH]n2)n1,HSA,0
294075,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,COc1cnc(N)nc1,CN(C)c1cccnc1CN,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2ncccc2N(C)C)nc(Nc2ncc(OC)cn2)n1,BRD4,0
764501,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,NCCC(O)C1CCCC1,Cc1cc2cc(CN)ccc2[nH]1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCC(O)C2CCCC2)nc(NCc2ccc3[nH]c(C)cc3c2)n1,sEH,1
81558,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC12CCC(CN)(C1)OC2.Cl,Cl.NCCC(=O)NCc1ccccc1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCC(=O)NCc2ccccc2)nc(NCC23CCC(C)(CO2)C3)n1,BRD4,0
943230,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,NCCc1ccc(N2CCOCC2)c(F)c1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCc2ccc(N3CCOCC3)c(F)c2)nc(Nc2ccc([N+](=O)[O-])c(C(F)(F)F)c2)n1,BRD4,0
533589,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Cl.Cn1cc(N)ccc1=O,NCC1(c2ccc3c(c2)OCO3)CCCCC1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC2(c3ccc4c(c3)OCO4)CCCCC2)nc(Nc2ccc(=O)n(C)c2)n1,BRD4,1
4423,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#Cc1ccc(N)cc1,Cc1nc(N)ccc1Cl,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2ccc(C#C)cc2)nc(Nc2ccc(Cl)c(C)n2)n1,HSA,0
270699,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,COc1ccc(N)cc1[N+](=O)[O-],COc1nc(C)ccc1CN,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2ccc(C)nc2OC)nc(Nc2ccc(OC)c([N+](=O)[O-])c2)n1,BRD4,0
357566,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Cc1cc(F)ncc1CN,CC(C)CC(C)(CN)NC(=O)c1cc(Cl)c(Cl)[nH]1.Cl,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2cnc(F)cc2C)nc(NCC(C)(CC(C)C)NC(=O)c2cc(Cl)c(Cl)[nH]2)n1,sEH,0
996992,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Nc1cccc2ncccc12,Cl.Cl.NCc1cncc(F)c1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2cncc(F)c2)nc(Nc2cccc3ncccc23)n1,sEH,1
19056,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C=CCSCCN,COc1ccc(C(CN)N2CCOCC2)cc1OC,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCSCC=C)nc(NCC(c2ccc(OC)c(OC)c2)N2CCOCC2)n1,BRD4,0
209369,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,COC(CN)C1CCCOC1,COC(=O)c1nccnc1N,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(OC)C2CCCOC2)nc(Nc2nccnc2C(=O)OC)n1,sEH,0
77487,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC1(CCCCN)OCCO1,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCCCC2(C)OCCO2)nc(Nc2cccc3c2CN(C2CCC(=O)NC2=O)C3=O)n1,BRD4,0
511754,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Cl.Cl.NCc1cnsc1,CC1(C)OB(c2ccc(N)cc2)OC1(C)C,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2cnsc2)nc(Nc2ccc(B3OC(C)(C)C(C)(C)O3)cc2)n1,sEH,0
850056,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,Cl.Cl.NCC(O)c1ccncc1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(O)c2ccncc2)nc(Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1,BRD4,0
960276,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Nc1ccc2c(c1)CNCC2,CCOC(=O)c1cncnc1N,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2ccc3c(c2)CNCC3)nc(Nc2ncncc2C(=O)OCC)n1,BRD4,0
164358,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CN1CCO[C@@H](CN)[C@@H]1c1cnn(C)c1,Nc1ccc(Cl)nc1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NC[C@@H]2OCCN(C)[C@H]2c2cnn(C)c2)nc(Nc2ccc(Cl)nc2)n1,BRD4,0
359223,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Cc1cc(F)ncc1CN,NCc1ccc(CN2CCCC2=O)cc1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2ccc(CN3CCCC3=O)cc2)nc(NCc2cnc(F)cc2C)n1,BRD4,0
